Time Step,A,B,C
55,2.66E-01,1.18E-01,2.80E-01
56,2.54E-01,9.05E-02,2.86E-01
57,2.60E-01,8.44E-02,3.01E-01
58,2.08E-01,1.08E-01,2.61E-01
59,2.48E-01,1.30E-01,2.73E-01
60,2.44E-01,1.82E-01,3.01E-01
61,2.05E-01,2.18E-01,2.87E-01
62,2.00E-01,1.98E-01,2.82E-01
63,2.28E-01,1.63E-01,2.74E-01
64,2.16E-01,1.06E-01,3.11E-01
65,1.67E-01,5.16E-02,3.36E-01
66,1.93E-01,9.83E-02,3.57E-01
67,2.34E-01,1.15E-01,3.66E-01
68,2.86E-01,6.82E-02,3.84E-01
69,2.35E-01,9.31E-02,4.02E-01
70,2.11E-01,8.44E-02,4.33E-01
71,1.75E-01,4.29E-02,4.64E-01
72,2.21E-01,-2.57E-03,4.71E-01
73,2.50E-01,3.43E-03,4.57E-01
74,2.19E-01,-4.63E-02,4.81E-01
75,1.86E-01,-2.84E-02,4.45E-01
76,2.17E-01,-8.41E-02,4.13E-01
77,2.46E-01,-1.22E-01,4.33E-01
78,2.61E-01,-8.15E-02,4.32E-01
79,2.61E-01,-1.15E-01,3.98E-01
80,2.65E-01,-7.28E-02,4.04E-01
81,2.23E-01,-9.36E-02,3.98E-01
82,2.39E-01,-1.46E-01,4.19E-01
83,2.38E-01,-1.88E-01,3.92E-01
84,1.94E-01,-1.41E-01,4.00E-01
85,1.88E-01,-1.39E-01,4.02E-01
86,1.70E-01,-1.20E-01,3.98E-01
87,1.27E-01,-1.53E-01,3.92E-01
88,8.55E-02,-2.06E-01,3.84E-01
89,1.30E-01,-2.05E-01,3.69E-01
90,1.15E-01,-1.86E-01,3.76E-01
91,1.38E-01,-1.96E-01,3.86E-01
92,9.63E-02,-1.87E-01,4.24E-01
93,1.10E-01,-2.22E-01,4.23E-01
94,1.06E-01,-2.31E-01,3.84E-01
95,8.91E-02,-2.67E-01,3.56E-01
96,1.28E-01,-2.27E-01,3.79E-01
97,1.29E-01,-1.70E-01,3.67E-01
98,8.05E-02,-1.42E-01,3.98E-01
99,1.10E-01,-1.66E-01,4.20E-01
100,1.53E-01,-1.64E-01,4.00E-01
101,1.74E-01,-2.01E-01,4.05E-01
102,2.04E-01,-1.46E-01,4.18E-01
103,2.27E-01,-1.05E-01,4.40E-01
104,2.78E-01,-1.44E-01,4.68E-01
105,3.17E-01,-1.03E-01,4.99E-01
106,3.69E-01,-1.36E-01,4.80E-01
107,3.12E-01,-1.11E-01,4.61E-01
108,2.90E-01,-1.10E-01,4.68E-01
109,3.04E-01,-1.14E-01,4.77E-01
110,3.42E-01,-8.40E-02,4.41E-01
111,2.85E-01,-3.91E-02,4.72E-01
112,2.44E-01,1.57E-02,4.41E-01
113,2.84E-01,4.62E-02,4.30E-01
114,2.70E-01,9.87E-02,4.37E-01
115,2.24E-01,1.54E-01,4.11E-01
116,2.69E-01,1.55E-01,4.26E-01
117,2.87E-01,1.21E-01,4.21E-01
118,2.86E-01,8.52E-02,4.56E-01
119,2.43E-01,1.04E-01,4.80E-01
120,2.81E-01,5.65E-02,4.63E-01
121,3.33E-01,5.91E-03,4.93E-01
122,2.74E-01,-2.41E-02,4.94E-01
123,2.68E-01,-7.76E-02,4.90E-01
124,2.22E-01,-2.71E-02,4.80E-01
125,1.70E-01,-6.26E-02,4.41E-01
126,1.64E-01,-8.03E-02,4.30E-01
127,1.44E-01,-1.22E-01,4.32E-01
128,1.68E-01,-1.46E-01,4.35E-01
129,1.32E-01,-1.42E-01,4.73E-01
130,9.24E-02,-1.64E-01,4.92E-01
131,4.88E-02,-1.22E-01,4.56E-01
132,2.30E-02,-9.80E-02,4.21E-01
133,5.95E-03,-1.11E-01,4.26E-01
134,4.93E-02,-1.34E-01,3.93E-01
135,1.36E-02,-1.25E-01,4.26E-01
136,-6.05E-03,-7.92E-02,4.52E-01
137,-6.15E-02,-4.57E-02,4.70E-01
138,-8.98E-02,-9.70E-02,4.64E-01
139,-6.00E-02,-7.62E-02,4.54E-01
140,-9.50E-02,-8.18E-02,4.84E-01
141,-6.63E-02,-6.89E-02,4.49E-01
142,-1.19E-02,-1.22E-01,4.77E-01
143,-2.87E-03,-1.25E-01,4.41E-01
144,-2.85E-02,-1.11E-01,4.15E-01
145,-8.43E-02,-8.78E-02,3.96E-01
146,-4.84E-02,-1.28E-01,3.95E-01
147,-9.06E-03,-1.78E-01,4.11E-01
148,-8.37E-03,-1.32E-01,3.86E-01
149,3.47E-02,-1.61E-01,3.97E-01
150,4.46E-02,-1.47E-01,4.16E-01
151,4.02E-02,-1.75E-01,4.21E-01
152,4.59E-03,-1.53E-01,4.07E-01
153,4.55E-02,-1.89E-01,4.43E-01
154,4.71E-02,-1.74E-01,4.49E-01
155,4.84E-02,-1.21E-01,4.68E-01
156,-4.54E-03,-1.54E-01,4.51E-01
157,1.20E-02,-1.31E-01,4.89E-01
158,3.04E-02,-8.87E-02,4.52E-01
159,7.68E-02,-1.14E-01,4.91E-01
160,1.04E-01,-1.46E-01,4.96E-01
161,9.14E-02,-1.65E-01,4.93E-01
162,4.59E-02,-1.60E-01,4.99E-01
163,8.34E-02,-1.05E-01,4.97E-01
164,6.24E-02,-1.54E-01,4.70E-01
165,2.66E-02,-1.31E-01,4.35E-01
166,3.20E-02,-1.15E-01,4.20E-01
167,7.87E-02,-1.62E-01,4.18E-01
168,6.85E-02,-1.18E-01,4.03E-01
169,4.25E-02,-7.97E-02,3.89E-01
170,-5.80E-04,-5.18E-02,4.03E-01
171,1.60E-02,-1.99E-02,4.17E-01
172,6.99E-02,-2.48E-02,4.31E-01
173,5.67E-02,-7.16E-02,4.41E-01
174,3.45E-02,-7.07E-02,4.76E-01
175,2.58E-02,-5.24E-02,4.87E-01
176,-5.75E-03,-7.24E-02,4.74E-01
177,1.38E-02,-4.17E-02,4.99E-01
178,-1.28E-02,-3.75E-02,4.75E-01
179,-5.06E-02,-4.50E-02,4.98E-01
180,-3.66E-02,-3.28E-02,4.61E-01
181,-3.23E-02,-7.71E-02,4.60E-01
182,4.36E-04,-2.72E-02,4.46E-01
183,-2.14E-02,-6.66E-02,4.57E-01
184,-1.11E-02,-6.87E-02,4.65E-01
185,-1.19E-02,-7.16E-02,4.86E-01
186,1.17E-02,-7.91E-02,4.64E-01
187,4.44E-02,-1.11E-01,4.66E-01
188,6.61E-02,-8.57E-02,4.77E-01
189,2.15E-02,-1.03E-01,4.60E-01
190,-1.64E-02,-1.26E-01,4.89E-01
191,-1.37E-02,-1.34E-01,4.66E-01
192,7.12E-03,-1.78E-01,4.59E-01
193,7.59E-03,-1.48E-01,4.79E-01
194,4.25E-02,-1.74E-01,4.98E-01
195,-9.71E-03,-1.55E-01,4.97E-01
196,-5.67E-02,-1.13E-01,4.86E-01
197,-5.36E-03,-1.61E-01,4.77E-01
198,3.58E-02,-1.25E-01,4.92E-01
199,-2.04E-02,-1.35E-01,4.72E-01
200,-2.97E-03,-1.45E-01,4.71E-01
201,8.14E-03,-1.58E-01,4.41E-01
202,-4.03E-03,-1.33E-01,4.22E-01
203,-6.18E-02,-8.52E-02,4.14E-01
204,-9.77E-02,-3.63E-02,4.43E-01
205,-9.33E-02,1.39E-02,4.58E-01
206,-1.08E-01,6.46E-03,4.80E-01
207,-1.39E-01,-2.16E-02,4.96E-01
208,-1.33E-01,4.41E-03,4.87E-01
209,-8.73E-02,3.84E-02,4.97E-01
210,-1.14E-01,4.31E-02,4.77E-01
211,-1.69E-01,-6.92E-03,4.49E-01
212,-1.80E-01,-2.78E-02,4.58E-01
213,-1.71E-01,6.46E-03,4.59E-01
214,-1.57E-01,2.23E-02,4.57E-01
215,-1.27E-01,7.45E-02,4.72E-01
216,-1.52E-01,1.25E-01,4.39E-01
217,-1.76E-01,1.13E-01,4.39E-01
218,-2.04E-01,1.10E-01,4.04E-01
219,-1.58E-01,7.37E-02,3.75E-01
220,-1.95E-01,5.30E-02,3.68E-01
221,-1.51E-01,-1.33E-03,3.37E-01
222,-1.94E-01,-3.00E-02,3.43E-01
223,-1.76E-01,2.20E-02,3.29E-01
224,-1.26E-01,1.89E-02,3.40E-01
225,-9.75E-02,4.20E-04,3.69E-01
226,-9.25E-02,5.54E-02,4.07E-01
227,-1.47E-01,6.94E-02,4.08E-01
228,-1.58E-01,6.48E-02,3.95E-01
229,-1.39E-01,4.60E-02,3.64E-01
230,-1.52E-01,-5.54E-03,3.73E-01
231,-1.33E-01,1.12E-02,3.59E-01
232,-1.20E-01,6.51E-02,3.28E-01
233,-1.49E-01,2.29E-02,3.47E-01
234,-1.97E-01,5.46E-02,3.10E-01
235,-1.73E-01,6.33E-03,2.99E-01
236,-2.24E-01,1.37E-02,3.22E-01
237,-2.75E-01,6.74E-02,3.57E-01
238,-2.91E-01,4.04E-02,3.41E-01
239,-3.28E-01,6.40E-02,3.45E-01
240,-3.13E-01,5.85E-02,3.60E-01
241,-2.82E-01,2.53E-03,3.75E-01
242,-2.82E-01,-2.29E-02,4.14E-01
243,-2.57E-01,-3.09E-02,4.47E-01
244,-2.51E-01,-6.90E-02,4.09E-01
245,-2.67E-01,-5.14E-02,3.84E-01
246,-2.42E-01,-5.09E-02,4.21E-01
247,-2.76E-01,-5.74E-02,4.43E-01
248,-2.99E-01,-9.74E-04,4.50E-01
249,-2.43E-01,4.65E-02,4.36E-01
250,-2.62E-01,-8.97E-03,4.58E-01
251,-2.26E-01,-2.16E-02,4.72E-01
252,-2.54E-01,-6.84E-02,4.68E-01
253,-2.70E-01,-2.98E-02,4.75E-01
254,-3.29E-01,-2.75E-02,4.86E-01
255,-3.53E-01,-5.54E-02,4.87E-01
256,-3.51E-01,2.30E-03,4.66E-01
257,-3.45E-01,3.36E-02,4.97E-01
258,-3.03E-01,2.08E-02,4.82E-01
259,-2.90E-01,-1.51E-02,4.80E-01
260,-2.44E-01,-2.11E-02,4.74E-01
261,-2.47E-01,2.04E-02,4.47E-01
262,-2.00E-01,2.02E-03,4.18E-01
263,-2.06E-01,-3.74E-02,4.12E-01
264,-2.14E-01,-3.90E-02,3.87E-01
265,-2.45E-01,-1.86E-03,3.86E-01
266,-2.31E-01,4.38E-02,3.55E-01
267,-2.01E-01,7.26E-02,3.29E-01
268,-1.77E-01,6.28E-02,3.44E-01
269,-2.36E-01,1.08E-01,3.72E-01
270,-2.44E-01,8.64E-02,3.56E-01
271,-2.18E-01,8.57E-02,3.17E-01
272,-2.17E-01,3.62E-02,3.30E-01
273,-1.96E-01,8.48E-02,3.60E-01
274,-2.09E-01,7.16E-02,3.69E-01
275,-1.99E-01,5.44E-02,3.77E-01
276,-2.46E-01,6.63E-02,3.92E-01
277,-2.55E-01,8.78E-02,3.54E-01
278,-2.31E-01,3.79E-02,3.32E-01
279,-2.23E-01,1.85E-02,3.71E-01
280,-2.61E-01,6.78E-02,3.92E-01
281,-2.83E-01,3.97E-02,4.28E-01
282,-2.44E-01,9.22E-02,3.99E-01
283,-2.15E-01,6.20E-02,3.90E-01
284,-1.74E-01,3.45E-02,4.29E-01
285,-1.60E-01,1.67E-02,4.56E-01
286,-1.28E-01,1.77E-02,4.23E-01
287,-1.17E-01,7.42E-03,4.59E-01
288,-1.30E-01,5.11E-04,4.23E-01
289,-1.64E-01,1.89E-02,4.26E-01
290,-2.02E-01,7.04E-02,4.49E-01
291,-2.42E-01,2.57E-02,4.43E-01
292,-2.99E-01,2.11E-02,4.59E-01
293,-2.65E-01,-3.07E-02,4.58E-01
294,-2.86E-01,1.55E-02,4.65E-01
295,-2.64E-01,2.30E-04,4.57E-01
296,-3.02E-01,3.47E-02,4.41E-01
297,-2.73E-01,4.05E-03,4.49E-01
298,-2.21E-01,-3.85E-02,4.59E-01
299,-1.68E-01,-4.12E-02,4.25E-01
300,-2.16E-01,-3.60E-02,4.07E-01
301,-1.60E-01,-1.56E-02,4.48E-01
302,-1.34E-01,-2.04E-02,4.49E-01
303,-1.68E-01,-2.63E-03,4.61E-01
304,-1.57E-01,-5.48E-02,4.64E-01
305,-1.40E-01,-8.87E-02,4.38E-01
306,-1.57E-01,-7.16E-02,4.13E-01
307,-1.15E-01,-9.81E-02,3.89E-01
308,-1.52E-01,-1.49E-01,3.51E-01
309,-1.95E-01,-1.61E-01,3.74E-01
310,-1.81E-01,-2.08E-01,3.50E-01
311,-2.13E-01,-1.66E-01,3.66E-01
312,-1.70E-01,-1.74E-01,3.48E-01
313,-1.99E-01,-1.51E-01,3.19E-01
314,-2.32E-01,-1.21E-01,3.26E-01
315,-2.76E-01,-1.70E-01,2.90E-01
316,-2.65E-01,-1.84E-01,2.64E-01
317,-2.30E-01,-1.30E-01,2.62E-01
318,-1.98E-01,-1.17E-01,2.80E-01
319,-1.86E-01,-8.67E-02,2.44E-01
320,-1.30E-01,-1.32E-01,2.23E-01
321,-1.22E-01,-8.51E-02,2.23E-01
322,-8.35E-02,-4.31E-02,2.16E-01
323,-1.33E-01,-6.93E-02,2.18E-01
324,-1.77E-01,-1.11E-01,1.92E-01
325,-1.50E-01,-7.27E-02,1.57E-01
326,-1.68E-01,-8.64E-02,1.91E-01
327,-1.69E-01,-6.86E-02,2.25E-01
328,-1.60E-01,-3.66E-02,2.19E-01
329,-1.59E-01,-9.02E-02,2.00E-01
330,-2.16E-01,-4.05E-02,1.88E-01
331,-2.21E-01,-4.48E-04,2.03E-01
332,-1.71E-01,-1.96E-02,2.24E-01
333,-1.64E-01,2.08E-02,2.24E-01
334,-2.10E-01,-3.30E-02,2.61E-01
335,-1.60E-01,-2.44E-02,2.37E-01
336,-1.66E-01,-7.58E-02,2.03E-01
337,-1.79E-01,-3.16E-02,2.28E-01
338,-1.24E-01,2.26E-03,1.94E-01
339,-1.53E-01,5.87E-02,2.34E-01
340,-1.21E-01,1.24E-02,2.72E-01
341,-1.52E-01,2.75E-02,2.57E-01
342,-1.90E-01,-3.53E-03,2.73E-01
343,-1.60E-01,-5.11E-04,2.87E-01
344,-1.67E-01,4.85E-02,2.70E-01
345,-1.21E-01,2.78E-02,2.58E-01
346,-1.16E-01,7.84E-02,2.72E-01
347,-1.69E-01,1.36E-01,2.81E-01
348,-1.27E-01,8.42E-02,2.99E-01
349,-1.66E-01,5.16E-02,3.31E-01
350,-1.32E-01,6.18E-02,3.57E-01
351,-1.12E-01,5.92E-02,3.75E-01
352,-1.18E-01,5.13E-02,3.92E-01
353,-1.66E-01,1.97E-02,3.87E-01
354,-1.13E-01,6.35E-03,3.91E-01
355,-1.31E-01,9.85E-03,3.70E-01
356,-1.03E-01,-1.60E-02,3.97E-01
357,-8.42E-02,1.64E-02,4.29E-01
358,-6.86E-02,2.40E-02,4.45E-01
359,-1.00E-01,6.52E-02,4.25E-01
360,-1.47E-01,2.64E-02,4.18E-01
361,-1.37E-01,-2.60E-02,3.83E-01
362,-1.95E-01,-1.42E-02,3.65E-01
363,-1.43E-01,7.69E-03,3.79E-01
364,-8.82E-02,4.11E-02,3.85E-01
365,-1.43E-01,-1.01E-02,3.60E-01
366,-1.04E-01,3.57E-03,3.42E-01
367,-1.57E-01,3.85E-02,3.14E-01
368,-1.03E-01,1.48E-02,3.12E-01
369,-1.25E-01,-3.24E-02,2.99E-01
370,-1.55E-01,-5.70E-02,2.89E-01
371,-2.10E-01,-2.22E-02,3.11E-01
372,-1.86E-01,-2.28E-02,2.90E-01
373,-1.99E-01,-1.96E-02,2.97E-01
374,-1.78E-01,1.79E-02,2.95E-01
375,-1.83E-01,4.68E-02,2.94E-01
376,-1.80E-01,-7.22E-03,3.28E-01
377,-1.93E-01,1.43E-02,3.36E-01
378,-1.92E-01,-2.81E-02,3.52E-01
379,-2.34E-01,-6.97E-02,3.63E-01
380,-2.32E-01,-4.24E-02,3.68E-01
381,-2.24E-01,-8.06E-02,3.30E-01
382,-1.73E-01,-7.71E-02,3.51E-01
383,-2.26E-01,-4.57E-02,3.72E-01
384,-2.12E-01,-3.98E-02,4.00E-01
385,-2.17E-01,-4.30E-02,4.06E-01
386,-2.19E-01,-8.63E-02,3.78E-01
387,-2.00E-01,-9.78E-02,4.13E-01
388,-1.95E-01,-6.54E-02,4.48E-01
389,-1.49E-01,-1.20E-01,4.29E-01
390,-2.00E-01,-1.15E-01,4.34E-01
391,-2.26E-01,-1.16E-01,4.53E-01
392,-2.20E-01,-1.51E-01,4.16E-01
393,-1.85E-01,-1.66E-01,4.51E-01
394,-1.40E-01,-1.74E-01,4.40E-01
395,-1.37E-01,-1.75E-01,4.22E-01
396,-1.01E-01,-2.03E-01,4.38E-01
397,-5.18E-02,-2.06E-01,4.51E-01
398,-3.22E-03,-1.68E-01,4.44E-01
399,-3.81E-02,-1.38E-01,4.70E-01
400,1.65E-02,-1.18E-01,4.40E-01
401,4.62E-02,-1.36E-01,4.31E-01
402,7.50E-02,-1.49E-01,4.47E-01
403,1.02E-01,-1.33E-01,4.53E-01
404,1.30E-01,-1.68E-01,4.65E-01
405,1.36E-01,-1.30E-01,4.29E-01
406,1.20E-01,-8.57E-02,4.00E-01
407,1.29E-01,-7.99E-02,3.70E-01
408,1.14E-01,-2.74E-02,3.75E-01
409,1.37E-01,-3.46E-02,4.07E-01
410,1.34E-01,7.63E-03,4.09E-01
411,1.34E-01,4.05E-03,3.91E-01
412,1.23E-01,-2.51E-03,3.94E-01
413,1.11E-01,-1.21E-03,3.95E-01
414,1.45E-01,-4.91E-02,3.90E-01
415,1.75E-01,-7.58E-02,3.68E-01
416,1.24E-01,-2.24E-02,3.48E-01
417,7.25E-02,-7.07E-02,3.85E-01
418,1.22E-01,-1.13E-01,3.57E-01
419,1.56E-01,-1.15E-01,3.47E-01
420,1.87E-01,-1.08E-01,3.32E-01
421,1.55E-01,-5.91E-02,3.12E-01
422,1.35E-01,-5.68E-03,3.05E-01
423,1.80E-01,-3.18E-02,3.00E-01
424,1.83E-01,1.89E-02,3.09E-01
425,2.09E-01,4.83E-02,2.80E-01
426,2.27E-01,5.82E-02,2.57E-01
427,2.74E-01,2.44E-02,2.21E-01
428,2.80E-01,1.60E-02,2.03E-01
429,2.62E-01,-3.39E-02,2.20E-01
430,3.02E-01,-7.36E-02,2.33E-01
431,2.73E-01,-1.16E-01,2.02E-01
432,3.14E-01,-8.26E-02,1.81E-01
433,2.97E-01,-3.53E-02,1.59E-01
434,2.43E-01,-8.54E-02,1.46E-01
435,2.19E-01,-4.87E-02,1.78E-01
436,2.25E-01,-4.40E-02,2.11E-01
437,2.37E-01,-7.31E-02,1.81E-01
438,2.43E-01,-7.49E-02,1.76E-01
439,2.21E-01,-6.10E-02,1.79E-01
440,2.76E-01,-1.88E-02,1.46E-01
441,3.31E-01,-4.74E-02,1.50E-01
442,3.78E-01,-9.03E-02,1.14E-01
443,4.20E-01,-7.84E-02,8.25E-02
444,4.00E-01,-9.04E-02,9.91E-02
445,3.65E-01,-6.20E-02,7.66E-02
446,3.39E-01,-7.87E-03,9.37E-02
447,3.01E-01,-1.97E-02,1.08E-01
448,2.93E-01,5.21E-03,9.02E-02
449,3.36E-01,6.70E-03,1.28E-01
450,3.19E-01,-2.12E-02,1.53E-01
451,3.62E-01,-1.03E-02,1.56E-01
452,3.99E-01,7.51E-03,1.90E-01
453,4.47E-01,1.27E-02,1.84E-01
454,4.98E-01,9.49E-03,2.13E-01
455,4.42E-01,-1.46E-02,2.00E-01
456,4.89E-01,3.44E-02,2.25E-01
457,4.71E-01,1.49E-02,2.55E-01
458,4.52E-01,3.35E-02,2.40E-01
459,4.91E-01,-1.84E-02,2.69E-01
460,4.74E-01,-5.29E-02,2.35E-01
461,4.92E-01,-8.26E-02,2.07E-01
462,4.98E-01,-8.26E-02,2.44E-01
463,4.67E-01,-1.06E-01,2.43E-01
464,4.39E-01,-8.98E-02,2.28E-01
465,4.20E-01,-7.23E-02,2.37E-01
466,3.97E-01,-3.83E-02,2.36E-01
467,3.91E-01,-1.62E-02,2.24E-01
468,4.32E-01,1.15E-02,2.41E-01
469,3.92E-01,-3.17E-02,2.14E-01
470,4.24E-01,-6.33E-02,1.95E-01
471,4.09E-01,-1.27E-02,2.00E-01
472,3.71E-01,3.63E-02,1.88E-01
473,3.40E-01,1.13E-03,1.69E-01
474,3.24E-01,5.28E-02,1.72E-01
475,3.03E-01,1.04E-01,1.64E-01
476,2.46E-01,1.23E-01,1.90E-01
477,2.23E-01,1.79E-01,1.64E-01
478,2.04E-01,1.29E-01,1.66E-01
479,2.16E-01,1.10E-01,2.06E-01
480,1.68E-01,1.41E-01,1.95E-01
481,1.28E-01,1.22E-01,1.79E-01
482,8.42E-02,1.41E-01,1.52E-01
483,7.42E-02,1.10E-01,1.83E-01
484,8.31E-02,1.46E-01,1.51E-01
485,5.35E-02,1.87E-01,1.42E-01
486,7.75E-02,2.44E-01,1.20E-01
487,6.70E-02,2.16E-01,1.04E-01
488,1.20E-01,1.99E-01,1.33E-01
489,7.35E-02,2.03E-01,1.41E-01
490,8.09E-02,2.59E-01,1.10E-01
491,4.62E-02,2.07E-01,1.13E-01
492,7.07E-02,2.12E-01,1.25E-01
493,6.55E-02,2.52E-01,1.45E-01
494,9.37E-03,2.88E-01,1.58E-01
495,2.95E-02,3.06E-01,1.37E-01
496,1.46E-02,2.77E-01,1.23E-01
497,7.03E-02,2.88E-01,1.18E-01
498,1.52E-02,2.78E-01,1.24E-01
499,2.78E-02,2.85E-01,1.59E-01
500,5.03E-02,2.54E-01,1.23E-01
501,9.02E-02,2.98E-01,1.17E-01
502,1.42E-01,2.62E-01,1.39E-01
503,1.42E-01,2.93E-01,1.45E-01
504,1.04E-01,3.23E-01,1.29E-01
505,4.87E-02,2.92E-01,1.38E-01
506,3.33E-02,3.17E-01,1.20E-01
507,6.96E-02,3.06E-01,1.12E-01
508,5.64E-02,3.19E-01,8.80E-02
509,5.42E-02,3.05E-01,1.25E-01
510,1.08E-01,3.08E-01,1.33E-01
511,1.31E-01,3.09E-01,1.27E-01
512,8.83E-02,3.49E-01,1.57E-01
513,4.02E-02,4.04E-01,1.92E-01
514,5.17E-02,3.49E-01,1.68E-01
515,6.43E-02,2.99E-01,1.36E-01
516,4.63E-02,2.58E-01,1.52E-01
517,4.49E-02,2.78E-01,1.69E-01
518,-2.58E-03,3.16E-01,1.63E-01
519,-5.42E-02,2.59E-01,1.56E-01
520,-3.15E-02,2.90E-01,1.74E-01
521,-4.13E-02,2.59E-01,2.01E-01
522,-8.58E-02,3.07E-01,1.74E-01
523,-9.26E-02,3.17E-01,1.51E-01
524,-5.91E-02,2.93E-01,1.46E-01
525,-1.51E-02,3.10E-01,1.12E-01
526,-4.57E-02,2.68E-01,1.06E-01
527,-3.43E-02,2.51E-01,1.38E-01
528,-1.11E-02,2.71E-01,1.13E-01
529,9.62E-03,2.19E-01,1.36E-01
530,-9.92E-03,2.76E-01,1.20E-01
531,1.82E-02,2.74E-01,9.66E-02
532,3.34E-02,3.19E-01,1.01E-01
533,4.65E-02,3.12E-01,7.81E-02
534,8.07E-02,3.40E-01,9.08E-02
535,3.68E-02,2.86E-01,7.41E-02
536,-1.03E-02,2.50E-01,6.53E-02
537,2.38E-02,2.81E-01,9.61E-02
538,6.91E-02,2.77E-01,5.79E-02
539,9.18E-02,2.36E-01,6.77E-02
540,7.15E-02,2.11E-01,3.39E-02
541,7.28E-02,2.21E-01,6.99E-02
542,8.81E-02,2.24E-01,5.10E-02
543,1.37E-01,2.53E-01,4.03E-02
544,1.21E-01,2.25E-01,4.75E-02
545,1.18E-01,1.97E-01,5.91E-02
546,1.24E-01,2.52E-01,2.73E-02
547,1.38E-01,2.11E-01,3.36E-02
548,8.47E-02,1.59E-01,1.07E-02
549,4.52E-02,1.16E-01,1.00E-03
550,1.36E-02,1.02E-01,-6.39E-03
551,2.23E-02,8.76E-02,-2.31E-02
552,9.31E-03,1.06E-01,-1.11E-02
553,5.63E-02,5.22E-02,-4.55E-02
554,1.09E-01,3.65E-02,-7.59E-03
555,1.64E-01,6.75E-02,1.20E-02
556,1.49E-01,2.75E-02,4.51E-02
557,1.82E-01,6.99E-02,3.16E-02
558,1.85E-01,6.65E-02,-3.38E-03
559,1.76E-01,5.75E-02,-1.31E-02
560,2.04E-01,5.66E-02,4.71E-03
561,1.85E-01,1.14E-01,-3.25E-02
562,2.40E-01,8.54E-02,-2.55E-02
563,2.61E-01,5.40E-02,1.44E-02
564,2.27E-01,1.03E-01,-1.58E-02
565,2.19E-01,8.27E-02,-3.79E-02
566,2.70E-01,7.75E-02,-6.69E-03
567,2.17E-01,2.56E-02,-1.56E-02
568,2.11E-01,-1.29E-02,1.01E-02
569,2.10E-01,4.24E-02,-2.78E-02
570,1.98E-01,4.72E-02,-5.28E-02
571,1.51E-01,4.16E-02,-8.44E-02
572,1.14E-01,2.72E-02,-8.42E-02
573,8.53E-02,-1.32E-02,-1.15E-01
574,1.07E-01,-6.82E-02,-1.08E-01
575,1.16E-01,-1.55E-02,-1.34E-01
576,6.54E-02,-7.01E-02,-1.54E-01
577,1.47E-02,-6.31E-02,-1.39E-01
578,1.53E-02,-9.81E-02,-1.11E-01
579,-1.75E-02,-8.25E-02,-1.32E-01
580,-1.38E-02,-1.07E-01,-1.59E-01
581,-2.37E-02,-5.13E-02,-1.21E-01
582,-2.54E-02,-5.03E-02,-1.29E-01
583,-1.84E-02,-2.31E-02,-1.66E-01
