Time Step,A,B,C
145,4.11E-01,3.50E-01,2.18E-01
146,4.45E-01,3.24E-01,2.06E-01
147,4.03E-01,3.71E-01,1.77E-01
148,4.39E-01,3.67E-01,1.86E-01
149,4.71E-01,3.99E-01,2.07E-01
150,4.94E-01,4.44E-01,2.34E-01
151,4.65E-01,4.33E-01,2.36E-01
152,4.56E-01,4.42E-01,2.48E-01
153,4.47E-01,4.45E-01,2.60E-01
154,4.84E-01,4.57E-01,2.77E-01
155,4.49E-01,4.55E-01,2.93E-01
156,4.72E-01,4.40E-01,3.18E-01
157,4.74E-01,4.44E-01,3.32E-01
158,4.68E-01,4.22E-01,3.18E-01
159,4.57E-01,4.65E-01,3.18E-01
160,4.76E-01,4.44E-01,3.34E-01
161,4.35E-01,4.24E-01,3.60E-01
162,4.17E-01,4.63E-01,3.87E-01
163,4.29E-01,4.76E-01,3.60E-01
164,4.48E-01,4.45E-01,3.44E-01
165,4.37E-01,4.14E-01,3.52E-01
166,4.68E-01,4.58E-01,3.44E-01
167,4.96E-01,4.75E-01,3.32E-01
168,4.64E-01,4.35E-01,3.07E-01
169,4.53E-01,4.51E-01,2.94E-01
170,4.53E-01,4.37E-01,3.07E-01
171,4.35E-01,3.96E-01,2.90E-01
172,4.77E-01,4.38E-01,3.07E-01
173,4.57E-01,4.72E-01,3.08E-01
174,4.26E-01,4.68E-01,2.90E-01
175,4.30E-01,4.32E-01,3.07E-01
176,4.00E-01,4.52E-01,2.92E-01
177,3.64E-01,4.91E-01,3.09E-01
178,3.49E-01,4.85E-01,2.80E-01
179,3.08E-01,4.98E-01,3.03E-01
180,3.46E-01,4.58E-01,2.78E-01
181,3.71E-01,4.95E-01,2.97E-01
182,3.97E-01,4.97E-01,2.95E-01
183,4.33E-01,4.79E-01,2.69E-01
184,4.21E-01,4.88E-01,2.65E-01
185,4.06E-01,4.91E-01,2.41E-01
186,4.32E-01,4.70E-01,2.36E-01
187,3.99E-01,4.82E-01,2.54E-01
188,3.64E-01,4.83E-01,2.65E-01
189,3.85E-01,4.65E-01,2.83E-01
190,4.24E-01,4.61E-01,2.60E-01
191,4.22E-01,4.23E-01,2.38E-01
192,3.86E-01,4.23E-01,2.21E-01
193,3.82E-01,4.52E-01,2.35E-01
194,3.49E-01,4.89E-01,2.32E-01
195,3.84E-01,4.76E-01,2.41E-01
196,3.88E-01,4.74E-01,2.34E-01
197,3.49E-01,4.99E-01,2.62E-01
198,3.87E-01,4.71E-01,2.86E-01
199,3.70E-01,4.57E-01,2.91E-01
200,3.79E-01,4.34E-01,2.72E-01
201,3.66E-01,4.47E-01,2.80E-01
202,3.75E-01,4.28E-01,3.05E-01
203,3.38E-01,4.11E-01,2.86E-01
204,3.55E-01,4.35E-01,2.84E-01
205,3.48E-01,4.56E-01,2.82E-01
206,3.18E-01,4.11E-01,2.57E-01
207,3.54E-01,4.30E-01,2.32E-01
208,3.69E-01,4.68E-01,2.24E-01
209,3.54E-01,4.23E-01,2.12E-01
210,3.62E-01,3.90E-01,1.96E-01
211,3.93E-01,3.48E-01,1.78E-01
212,3.90E-01,3.78E-01,1.62E-01
213,3.70E-01,4.11E-01,1.40E-01
214,3.83E-01,4.13E-01,1.44E-01
215,3.51E-01,3.77E-01,1.18E-01
216,3.76E-01,3.41E-01,9.20E-02
217,4.00E-01,3.20E-01,6.33E-02
218,3.66E-01,3.34E-01,6.14E-02
219,3.46E-01,3.17E-01,8.12E-02
220,3.74E-01,3.24E-01,8.55E-02
221,3.62E-01,2.94E-01,9.57E-02
222,3.65E-01,2.73E-01,1.07E-01
223,3.83E-01,2.81E-01,1.09E-01
224,3.99E-01,3.00E-01,1.36E-01
225,3.78E-01,2.82E-01,1.45E-01
226,4.15E-01,3.23E-01,1.27E-01
227,4.51E-01,3.46E-01,1.47E-01
228,4.19E-01,3.33E-01,1.51E-01
229,4.17E-01,3.47E-01,1.35E-01
230,4.08E-01,3.93E-01,1.32E-01
231,3.83E-01,3.49E-01,1.33E-01
232,4.09E-01,3.23E-01,1.36E-01
233,3.73E-01,2.96E-01,1.49E-01
234,3.46E-01,2.67E-01,1.65E-01
235,3.83E-01,2.82E-01,1.79E-01
236,3.44E-01,2.55E-01,1.71E-01
237,3.49E-01,2.48E-01,1.64E-01
238,3.49E-01,2.10E-01,1.68E-01
239,3.83E-01,1.79E-01,1.47E-01
240,3.72E-01,1.36E-01,1.40E-01
241,3.63E-01,1.48E-01,1.23E-01
242,3.35E-01,1.25E-01,1.21E-01
243,3.24E-01,1.36E-01,1.19E-01
244,3.40E-01,1.03E-01,9.14E-02
245,3.75E-01,8.07E-02,9.33E-02
246,3.96E-01,9.94E-02,9.64E-02
247,3.90E-01,1.03E-01,1.10E-01
248,4.05E-01,1.16E-01,1.12E-01
249,4.31E-01,1.29E-01,9.07E-02
250,4.15E-01,1.64E-01,1.18E-01
251,4.12E-01,2.01E-01,1.21E-01
252,4.40E-01,2.14E-01,1.32E-01
253,4.15E-01,2.12E-01,1.22E-01
254,4.56E-01,2.36E-01,1.25E-01
255,4.56E-01,2.66E-01,1.39E-01
256,4.59E-01,2.38E-01,1.48E-01
257,4.62E-01,2.25E-01,1.39E-01
258,4.51E-01,2.42E-01,1.63E-01
259,4.48E-01,2.39E-01,1.59E-01
260,4.77E-01,2.35E-01,1.33E-01
261,4.39E-01,2.04E-01,1.47E-01
262,4.26E-01,1.93E-01,1.74E-01
263,4.22E-01,2.36E-01,1.54E-01
264,4.04E-01,2.08E-01,1.42E-01
265,3.92E-01,2.24E-01,1.58E-01
266,3.82E-01,1.93E-01,1.43E-01
267,3.49E-01,1.60E-01,1.67E-01
268,3.07E-01,1.45E-01,1.45E-01
269,2.94E-01,1.08E-01,1.47E-01
270,2.56E-01,1.20E-01,1.24E-01
271,2.55E-01,1.33E-01,1.07E-01
272,2.74E-01,9.35E-02,1.04E-01
273,2.32E-01,7.21E-02,7.92E-02
274,2.52E-01,8.29E-02,8.39E-02
275,2.33E-01,1.10E-01,6.25E-02
276,2.03E-01,1.17E-01,5.43E-02
277,2.29E-01,1.51E-01,8.17E-02
278,1.98E-01,1.51E-01,7.98E-02
279,2.03E-01,1.87E-01,1.00E-01
280,1.79E-01,1.66E-01,1.10E-01
281,1.81E-01,1.27E-01,1.20E-01
282,1.40E-01,1.32E-01,1.04E-01
283,1.23E-01,1.46E-01,8.92E-02
284,1.23E-01,1.04E-01,8.74E-02
285,1.61E-01,1.36E-01,8.64E-02
286,1.74E-01,1.55E-01,5.81E-02
287,1.60E-01,1.91E-01,6.04E-02
288,1.43E-01,1.71E-01,5.61E-02
289,1.57E-01,2.15E-01,2.94E-02
290,1.62E-01,2.57E-01,4.61E-02
291,1.33E-01,2.28E-01,5.31E-02
292,1.12E-01,2.16E-01,3.12E-02
293,8.39E-02,2.42E-01,4.73E-02
294,4.56E-02,2.69E-01,4.89E-02
295,2.52E-02,2.88E-01,2.60E-02
296,3.48E-02,3.30E-01,3.60E-02
297,5.23E-03,3.51E-01,5.57E-02
298,4.11E-02,3.83E-01,5.60E-02
299,7.13E-03,3.66E-01,3.17E-02
300,-2.78E-02,3.68E-01,4.53E-02
301,-3.41E-02,3.37E-01,7.16E-02
302,-1.07E-03,3.66E-01,7.35E-02
303,-1.91E-02,4.08E-01,9.60E-02
304,-1.64E-02,4.00E-01,9.96E-02
305,-5.22E-02,4.25E-01,8.21E-02
306,-6.56E-02,3.89E-01,9.38E-02
307,-8.46E-02,3.65E-01,8.26E-02
308,-7.31E-02,4.04E-01,1.04E-01
309,-1.08E-01,3.76E-01,9.56E-02
310,-1.23E-01,3.85E-01,7.32E-02
311,-9.43E-02,3.64E-01,5.04E-02
312,-1.20E-01,3.51E-01,5.95E-02
313,-1.40E-01,3.19E-01,5.23E-02
314,-1.52E-01,2.83E-01,5.48E-02
315,-1.28E-01,3.04E-01,5.84E-02
316,-1.67E-01,2.67E-01,5.44E-02
317,-1.64E-01,2.71E-01,4.37E-02
318,-1.70E-01,2.45E-01,2.84E-02
319,-1.59E-01,2.09E-01,8.20E-03
320,-1.92E-01,2.09E-01,-1.58E-02
321,-2.07E-01,2.06E-01,-4.28E-03
322,-2.48E-01,2.26E-01,-2.10E-02
323,-2.39E-01,1.92E-01,-4.29E-02
324,-2.58E-01,1.70E-01,-6.20E-02
325,-2.26E-01,1.32E-01,-6.80E-02
326,-2.17E-01,1.51E-01,-7.14E-02
327,-2.01E-01,1.16E-01,-8.39E-02
328,-2.09E-01,1.42E-01,-6.24E-02
329,-2.48E-01,1.03E-01,-8.97E-02
330,-2.33E-01,1.01E-01,-7.11E-02
331,-1.94E-01,6.95E-02,-7.25E-02
332,-1.66E-01,8.78E-02,-5.97E-02
333,-1.23E-01,9.06E-02,-7.51E-02
334,-9.23E-02,5.61E-02,-5.76E-02
335,-1.28E-01,6.84E-02,-3.18E-02
336,-1.31E-01,2.27E-02,-8.67E-03
337,-1.08E-01,1.90E-02,3.09E-04
338,-1.27E-01,6.30E-03,7.03E-03
339,-1.04E-01,-3.04E-02,3.14E-02
340,-8.27E-02,-4.20E-02,2.63E-02
341,-1.11E-01,-7.08E-03,3.99E-02
342,-1.17E-01,3.74E-02,2.93E-02
343,-1.25E-01,6.97E-02,3.84E-02
344,-1.21E-01,9.17E-02,3.64E-02
345,-1.56E-01,5.53E-02,6.49E-02
346,-1.49E-01,2.91E-02,4.48E-02
347,-1.30E-01,3.31E-02,4.22E-02
348,-1.57E-01,3.35E-02,7.03E-02
349,-1.69E-01,1.01E-02,6.15E-02
350,-1.70E-01,1.61E-02,8.52E-02
351,-1.69E-01,-3.57E-03,9.96E-02
352,-2.06E-01,2.02E-02,1.22E-01
353,-1.72E-01,5.30E-02,1.49E-01
354,-2.10E-01,2.33E-02,1.46E-01
355,-1.78E-01,2.30E-03,1.69E-01
356,-1.43E-01,-4.23E-02,1.64E-01
357,-1.17E-01,-2.46E-02,1.85E-01
358,-1.36E-01,-5.60E-02,1.90E-01
359,-1.04E-01,-9.55E-02,1.66E-01
360,-1.36E-01,-8.28E-02,1.49E-01
361,-1.62E-01,-1.25E-01,1.56E-01
362,-1.80E-01,-1.02E-01,1.33E-01
363,-1.62E-01,-1.25E-01,1.18E-01
364,-2.02E-01,-1.47E-01,1.09E-01
365,-1.99E-01,-1.11E-01,1.23E-01
366,-1.64E-01,-9.67E-02,1.49E-01
367,-1.77E-01,-7.87E-02,1.76E-01
368,-1.94E-01,-9.94E-02,1.95E-01
369,-2.28E-01,-1.20E-01,2.06E-01
370,-2.13E-01,-1.14E-01,1.80E-01
371,-2.27E-01,-1.07E-01,1.96E-01
372,-2.39E-01,-1.13E-01,2.05E-01
373,-2.24E-01,-7.80E-02,2.16E-01
374,-2.65E-01,-6.10E-02,1.89E-01
375,-2.62E-01,-8.77E-02,1.76E-01
376,-2.95E-01,-1.23E-01,1.60E-01
377,-2.55E-01,-1.24E-01,1.88E-01
378,-2.68E-01,-1.31E-01,1.65E-01
379,-2.40E-01,-1.37E-01,1.89E-01
380,-2.43E-01,-1.51E-01,1.65E-01
381,-2.64E-01,-1.33E-01,1.56E-01
382,-2.63E-01,-1.24E-01,1.27E-01
383,-2.69E-01,-1.06E-01,1.26E-01
384,-2.87E-01,-9.93E-02,1.25E-01
385,-2.70E-01,-1.10E-01,1.23E-01
386,-2.43E-01,-1.02E-01,1.17E-01
387,-2.11E-01,-1.35E-01,1.14E-01
388,-1.84E-01,-1.60E-01,1.34E-01
389,-2.22E-01,-2.04E-01,1.10E-01
390,-2.33E-01,-2.09E-01,1.38E-01
391,-2.36E-01,-2.08E-01,1.09E-01
392,-2.29E-01,-1.64E-01,1.17E-01
393,-2.16E-01,-2.07E-01,1.01E-01
394,-2.13E-01,-1.93E-01,1.01E-01
395,-1.93E-01,-2.01E-01,1.09E-01
396,-2.06E-01,-1.84E-01,1.27E-01
397,-1.99E-01,-2.25E-01,1.16E-01
398,-1.59E-01,-2.46E-01,1.24E-01
399,-1.50E-01,-2.59E-01,1.18E-01
400,-1.63E-01,-2.36E-01,1.11E-01
401,-1.49E-01,-2.74E-01,1.29E-01
402,-1.31E-01,-2.76E-01,1.21E-01
403,-1.64E-01,-2.76E-01,1.10E-01
404,-1.25E-01,-2.62E-01,1.29E-01
405,-1.08E-01,-2.65E-01,1.14E-01
406,-1.24E-01,-2.52E-01,1.19E-01
407,-1.29E-01,-2.10E-01,1.25E-01
408,-9.36E-02,-1.65E-01,1.45E-01
409,-6.70E-02,-1.72E-01,1.73E-01
410,-4.76E-02,-1.83E-01,2.01E-01
411,-6.60E-02,-1.69E-01,2.05E-01
412,-3.60E-02,-1.50E-01,2.19E-01
413,-3.94E-02,-1.23E-01,1.94E-01
414,-4.58E-02,-1.65E-01,2.18E-01
415,-6.69E-02,-2.05E-01,2.20E-01
416,-7.24E-02,-1.78E-01,2.12E-01
417,-4.37E-02,-1.67E-01,2.09E-01
418,-1.20E-02,-1.64E-01,2.09E-01
419,6.91E-03,-2.06E-01,1.99E-01
420,-2.27E-02,-2.23E-01,1.94E-01
421,-2.69E-02,-1.91E-01,1.75E-01
422,-4.36E-02,-2.28E-01,1.92E-01
423,-2.85E-02,-2.13E-01,2.19E-01
424,-5.70E-02,-2.18E-01,2.13E-01
425,-2.71E-02,-2.49E-01,2.36E-01
426,-4.36E-02,-2.63E-01,2.09E-01
427,-4.75E-02,-2.24E-01,2.10E-01
428,-5.82E-02,-2.40E-01,2.18E-01
429,-6.18E-02,-2.16E-01,2.24E-01
430,-5.33E-02,-1.70E-01,2.19E-01
431,-3.23E-02,-2.15E-01,2.00E-01
432,7.14E-03,-2.33E-01,2.18E-01
433,2.97E-02,-2.21E-01,2.12E-01
434,3.64E-02,-2.06E-01,1.93E-01
435,6.45E-02,-2.43E-01,2.18E-01
436,9.08E-02,-2.59E-01,2.04E-01
437,1.03E-01,-2.61E-01,1.93E-01
438,1.12E-01,-2.34E-01,2.05E-01
439,6.98E-02,-2.39E-01,2.30E-01
440,9.86E-02,-2.20E-01,2.56E-01
441,1.08E-01,-2.34E-01,2.80E-01
442,1.48E-01,-2.47E-01,3.03E-01
443,1.84E-01,-2.73E-01,3.04E-01
444,1.99E-01,-2.97E-01,3.15E-01
445,2.39E-01,-2.81E-01,3.36E-01
446,2.69E-01,-3.04E-01,3.61E-01
447,3.03E-01,-2.67E-01,3.88E-01
448,3.23E-01,-2.29E-01,4.02E-01
449,3.50E-01,-2.61E-01,4.25E-01
450,3.34E-01,-3.04E-01,3.97E-01
451,3.00E-01,-3.24E-01,3.72E-01
452,3.20E-01,-2.93E-01,3.52E-01
453,3.47E-01,-2.75E-01,3.29E-01
454,3.23E-01,-2.35E-01,3.17E-01
455,3.18E-01,-2.36E-01,3.37E-01
456,3.29E-01,-2.57E-01,3.17E-01
457,2.90E-01,-2.18E-01,3.12E-01
458,3.13E-01,-2.14E-01,3.13E-01
459,3.47E-01,-2.15E-01,3.35E-01
460,3.47E-01,-2.19E-01,3.63E-01
461,3.38E-01,-2.19E-01,3.89E-01
462,3.46E-01,-2.39E-01,3.88E-01
463,3.09E-01,-2.25E-01,3.63E-01
464,2.82E-01,-1.84E-01,3.73E-01
465,2.75E-01,-1.49E-01,3.64E-01
466,2.79E-01,-1.22E-01,3.80E-01
467,2.79E-01,-9.11E-02,3.75E-01
468,2.85E-01,-4.88E-02,3.77E-01
469,3.04E-01,-9.49E-02,3.82E-01
470,3.15E-01,-1.24E-01,4.09E-01
471,3.26E-01,-1.06E-01,4.11E-01
472,3.41E-01,-1.17E-01,4.01E-01
473,3.17E-01,-9.30E-02,4.04E-01
474,3.13E-01,-1.19E-01,4.18E-01
475,2.89E-01,-1.51E-01,4.16E-01
476,2.99E-01,-1.92E-01,4.11E-01
477,2.64E-01,-1.78E-01,4.32E-01
478,2.34E-01,-1.43E-01,4.59E-01
479,2.17E-01,-1.47E-01,4.68E-01
480,2.47E-01,-1.89E-01,4.69E-01
481,2.57E-01,-1.63E-01,4.44E-01
482,2.52E-01,-1.75E-01,4.25E-01
483,2.55E-01,-1.72E-01,4.23E-01
484,2.64E-01,-1.36E-01,4.49E-01
485,2.54E-01,-1.13E-01,4.72E-01
486,2.70E-01,-1.50E-01,4.67E-01
487,2.86E-01,-1.10E-01,4.67E-01
488,2.79E-01,-1.32E-01,4.50E-01
489,3.11E-01,-8.92E-02,4.62E-01
490,3.45E-01,-8.88E-02,4.80E-01
491,3.36E-01,-1.13E-01,4.64E-01
492,3.31E-01,-8.11E-02,4.70E-01
493,3.53E-01,-1.05E-01,4.50E-01
494,3.82E-01,-1.11E-01,4.34E-01
495,3.87E-01,-7.68E-02,4.58E-01
496,3.67E-01,-3.21E-02,4.63E-01
497,3.64E-01,-6.13E-02,4.77E-01
498,3.90E-01,-9.04E-02,4.95E-01
499,3.83E-01,-5.60E-02,4.91E-01
500,3.43E-01,-6.70E-02,4.63E-01
501,3.75E-01,-4.96E-02,4.82E-01
502,3.48E-01,-7.42E-02,4.69E-01
503,3.90E-01,-6.43E-02,4.47E-01
504,4.09E-01,-7.17E-02,4.35E-01
505,4.30E-01,-7.30E-02,4.31E-01
506,4.71E-01,-9.32E-02,4.37E-01
507,4.69E-01,-1.04E-01,4.20E-01
508,4.82E-01,-7.93E-02,4.21E-01
509,4.72E-01,-8.93E-02,4.28E-01
510,4.48E-01,-4.25E-02,4.32E-01
511,4.85E-01,-4.79E-02,4.45E-01
512,4.79E-01,-8.14E-02,4.58E-01
513,4.90E-01,-4.23E-02,4.45E-01
514,4.81E-01,-8.38E-02,4.71E-01
515,4.79E-01,-5.53E-02,4.70E-01
516,4.80E-01,-8.66E-02,4.57E-01
517,4.42E-01,-1.23E-01,4.55E-01
518,4.63E-01,-1.18E-01,4.47E-01
519,4.55E-01,-1.11E-01,4.50E-01
520,4.18E-01,-8.23E-02,4.64E-01
521,4.02E-01,-4.89E-02,4.75E-01
522,3.99E-01,-3.64E-02,4.63E-01
523,3.77E-01,-7.25E-02,4.65E-01
524,3.81E-01,-5.18E-02,4.41E-01
525,3.66E-01,-6.19E-02,4.24E-01
526,3.86E-01,-1.02E-01,4.35E-01
527,3.85E-01,-1.25E-01,4.63E-01
528,3.90E-01,-1.53E-01,4.71E-01
529,3.92E-01,-1.42E-01,4.62E-01
530,3.87E-01,-1.74E-01,4.78E-01
531,4.13E-01,-1.57E-01,4.83E-01
532,3.94E-01,-1.11E-01,4.84E-01
533,3.88E-01,-1.51E-01,4.75E-01
534,3.86E-01,-1.29E-01,4.99E-01
535,3.57E-01,-1.26E-01,4.84E-01
536,3.47E-01,-1.50E-01,4.69E-01
537,3.17E-01,-1.16E-01,4.60E-01
538,3.13E-01,-1.16E-01,4.46E-01
539,2.80E-01,-1.37E-01,4.58E-01
540,2.60E-01,-1.61E-01,4.43E-01
541,2.63E-01,-1.32E-01,4.18E-01
542,2.28E-01,-1.56E-01,3.98E-01
543,2.48E-01,-2.00E-01,4.17E-01
544,2.51E-01,-1.74E-01,4.38E-01
545,2.23E-01,-1.74E-01,4.32E-01
546,1.93E-01,-1.71E-01,4.26E-01
547,2.19E-01,-1.31E-01,4.00E-01
548,2.05E-01,-1.51E-01,4.09E-01
549,1.72E-01,-1.07E-01,4.07E-01
550,1.97E-01,-1.48E-01,3.81E-01
551,2.32E-01,-1.10E-01,3.76E-01
552,2.27E-01,-8.27E-02,3.83E-01
553,2.17E-01,-1.20E-01,3.94E-01
554,1.83E-01,-1.48E-01,4.17E-01
555,1.58E-01,-1.27E-01,4.23E-01
556,1.93E-01,-1.18E-01,4.47E-01
557,1.65E-01,-1.12E-01,4.64E-01
558,1.41E-01,-1.08E-01,4.79E-01
559,1.24E-01,-6.48E-02,4.86E-01
560,1.42E-01,-8.47E-02,4.78E-01
561,1.49E-01,-1.28E-01,4.52E-01
562,1.53E-01,-9.49E-02,4.38E-01
563,1.63E-01,-1.32E-01,4.33E-01
564,1.47E-01,-1.06E-01,4.40E-01
565,1.52E-01,-9.98E-02,4.66E-01
566,1.83E-01,-1.40E-01,4.42E-01
567,1.51E-01,-1.60E-01,4.21E-01
568,1.77E-01,-1.43E-01,4.48E-01
569,1.57E-01,-1.35E-01,4.66E-01
570,1.18E-01,-1.02E-01,4.87E-01
571,8.96E-02,-1.11E-01,4.58E-01
572,7.54E-02,-8.14E-02,4.83E-01
573,9.45E-02,-1.05E-01,4.67E-01
574,6.50E-02,-8.52E-02,4.71E-01
575,4.13E-02,-6.42E-02,4.71E-01
576,3.52E-02,-1.04E-01,4.88E-01
577,6.19E-03,-7.81E-02,4.68E-01
578,1.47E-02,-4.19E-02,4.96E-01
579,1.19E-02,-4.73E-02,5.00E-01
580,3.94E-02,-8.74E-02,4.97E-01
581,8.64E-03,-1.04E-01,4.90E-01
582,2.86E-02,-1.34E-01,4.96E-01
583,3.15E-02,-1.29E-01,4.81E-01
584,1.62E-02,-1.54E-01,4.92E-01
585,3.34E-02,-1.30E-01,4.64E-01
586,6.33E-02,-9.87E-02,4.60E-01
587,4.42E-02,-1.01E-01,4.55E-01
588,3.95E-02,-9.00E-02,4.70E-01
589,6.89E-03,-8.43E-02,4.54E-01
590,2.91E-02,-6.95E-02,4.28E-01
